n;jacobi;gauss;gauss_pivot
10;0;0;0
20;0.08413574078507934;0.08391474688299022;0.08391474688299022
30;0.000009491192625673685;0;0
40;0.01111003842065493;0.005648889416242652;0.005648889416242652
50;0.01021005065086224;0.010188058262406735;0.010188058262406735
60;0.0838632488001328;0.08346414018739952;0.08346414018739952
70;0.014693010727387119;0.014640955468984349;0.014640955468984349
80;0.0000013220025832950004;0;0
90;0.014166373548911388;0;0
100;0.008411032218708928;0.008399233104262237;0.008399233104262237
110;0.00000000006087200616928127;0;0
120;0.0000020833234186986434;0;0
130;0.0000974051008843545;0.00008834507649546554;0.00008834507649546554
140;0.09332575658597408;0.09268286671107247;0.09268286671107247
150;0.00024340565337396607;0;0
160;0.004027625472435611;0;0
170;0.09607351712614869;0.09586466165413532;0.09586466165413532
180;0.004580953509031339;0.004276016890266716;0.004276016890266716
190;0.04575066756249471;0.04574616462174591;0.04574616462174591
200;0.0013731508132981721;0.0013632249013792914;0.0013632249013792914
210;0.1707051791510932;0.1669749211794808;0.1669749211794808
220;0.005721554128889437;0.001165342992460484;0.001165342992460484
230;0.05402787859795341;0.045745361484325016;0.045745361484325016
240;0;0;0
250;0.005353932327847998;0.0053498882653544595;0.0053498882653544595
260;0.0014290762451151578;0;0
270;0.0017612166063037194;0.0006846942998436087;0.0006846942998436087
280;0.00003344913558970578;0.00003114026022492557;0.00003114026022492557
290;0.006096462239714239;0;0
300;0.0003451671667441407;0;0
310;0.0000008426610917188183;0.0000007737471054924658;0.0000007737471054924658
320;0.00000001340960734913805;0;0
330;0.000003107642529163131;0;0
340;0.006586244116244485;0.0036731909746765628;0.0036731909746765628
350;0.0721037351312722;0.07142857142857145;0.07142857142857145
360;0.000004093220675208308;0;0
370;0.007164203700124077;0.0000005826487935957481;0.0000005826487935957481
380;0.0000000005905861242299383;0;0
390;0.13961899553230717;0.13896373855945726;0.13896373855945726
400;0.00025692955976764514;0.00023131578857752644;0.00023131578857752644
410;0.05266382340384242;0.05251643886091049;0.05251643886091049
420;0.0001797613686047869;0.00008602821260454565;0.00008602821260454565
430;0.0003726312493591539;0;0
440;0.04242599658239552;0.04170579270577287;0.04170579270577287
450;0.0003636520840716719;0;0
460;0.022512519493475037;0.015695581291357417;0.015695581291357417
470;0.00015510398037798045;0;0
480;0.10311639686101468;0.10236504389018475;0.10236504389018475
490;0.08771499589021944;0.08650575418580975;0.08650575418580975
500;0.000026618257018796608;0;0
510;0;0;0
520;0.022763530965611116;0.020204472327677834;0.020204472327677834
530;0.00000306644730747012;0.00000011387408879688909;0.00000011387408879688909
540;0.007045820249805175;0;0
550;0.004296391608747554;0;0
560;0.02484359821290507;0.017530578071909397;0.017530578071909397
570;0.000021091629883803832;0;0
580;0.008492477640018252;0.00233009708737864;0.00233009708737864
590;0.16990787924048983;0.16677105688801191;0.16677105688801191
600;0.10645611250152136;0.10640829043884237;0.10640829043884237
610;0.046414019456687966;0.04633371073972785;0.04633371073972785
620;0.01957555553691454;0.0195714179588925;0.0195714179588925
630;0.030592093993789482;0.030381171175395013;0.030381171175395013
640;0.0003618368418301071;0;0
650;0.0000000067723664543646354;0;0
660;0.04794487725022458;0.04773991497835399;0.04773991497835399
670;0.02504892367906066;0.02504892367906066;0.02504892367906066
680;0.050088170782987;0.05008366706283224;0.05008366706283224
690;0.004280302171237482;0.004269193321506708;0.004269193321506708
700;0.0033771138161370396;0.0032680464206916904;0.0032680464206916904
710;0.0017420015630187765;0.0009983789664428694;0.0009983789664428694
720;0.0002051234174720437;0;0
730;0.000021215978721143805;0;0
740;0.000372529507343539;0.00034886788734364766;0.00034886788734364766
750;0.042426580824707204;0.04226014410190326;0.04226014410190326
760;0.006214226712678314;0.006015035322566368;0.006015035322566368
770;0.03574226514709919;0.031562500875302636;0.031562500875302636
780;0.032110456364094264;0.0320189971577129;0.0320189971577129
790;0.08352321453993666;0.08333333333333333;0.08333333333333333
800;0.0011188304799463306;0.001110682751802708;0.001110682751802708
810;0.026332054962552167;0.026305870685821832;0.026305870685821832
820;0.01462562670117226;0.00020431502225203512;0.00020431502225203512
830;0.0023227707341750706;0;0
840;0.0000315205688443185;0.00003045091697090562;0.00003045091697090562
850;0.0035803750922207846;0.0014279365476327292;0.0014279365476327292
860;0.06800073444682726;0.0676721573170245;0.0676721573170245
870;0.00000018322037801582524;0;0
880;0.13110052638595868;0.13095238095238096;0.13095238095238096
890;0.0023577133645987084;0;0
900;0.0026922940743591035;0.0025036337286026005;0.0025036337286026005
910;0.16738795153865205;0.16666666694105772;0.16666666694105772
920;0.0990550667970023;0.09318996415770611;0.09318996415770611
930;0.0001464854808308799;0.000009381293391792718;0.000009381293391792718
940;0.0000003204495884990568;0;0
950;0.10578672610156199;0.10566137813730954;0.10566137813730954
960;0.03298745484270929;0.032710839033254224;0.032710839033254224
970;0.000000010911223847976807;0;0
980;0.0037818684799299923;0;0
990;0.0028747058862520916;0.00284270489462261;0.00284270489462261
1000;0.08347966320967874;0.08337033209583573;0.08337033209583573
