n;jacobi;seidel;gauss;gauss_pivot
1380;1632.54916;821.6225999999999;1600.9467570000002;1599.9169980000001
1400;1953.243102;997.266912;1664.0493099999999;1661.4993220000001
1420;1120.778492;1092.4660159999999;1759.818984;1748.9261999999999
1440;2149.4325240000003;1090.010696;1829.253242;1819.259508
1460;1091.070892;1047.113183;1053.462468;1909.377012
1480;1416.164902;1241.123732;1007.1352700000001;1004.3572780000001
1500;1564.027503;799.975156;1121.6814140000001;1116.5458090000002
1520;1805.0193049999998;1404.593486;1198.3665609999998;1214.7128209999998
1540;1769.742678;891.0683809999999;1303.374788;1313.2334399999997
1560;2481.104972;1749.360642;1403.967234;1420.870742
1580;1775.3591740000002;899.5345460000001;1519.869422;1525.3116060000002
1600;4084.1252759999998;2544.025931;1638.9499540000002;1629.432274
1620;1999.759626;1494.446702;1755.688508;1766.2623549999998
1640;2586.595668;1301.274556;1856.527982;1872.350078
1660;1764.197378;1391.170172;1978.34779;1983.4538240000002
1680;2838.885973;1425.49694;2116.3939640000003;2116.124242
1700;2105.97181;1581.423636;2247.511818;2264.949717
1720;3534.1594130000003;1783.9502400000001;2380.063673;2423.279074
1740;2682.3707799999997;1336.561506;2516.038256;2520.47918
1760;3829.6130429999994;1926.9470620000002;2721.608282;2690.450232
1780;1999.4224740000002;1495.596356;2847.5865440000002;2832.6510319999998
1800;3723.9144109999997;1937.555837;2063.077386;2002.150684
1820;2408.558778;1229.482958;2098.7759140000003;2152.4698200000003
1840;2386.8320700000004;1694.689006;2232.7850399999998;2295.647562
1860;2350.964438;1178.2642239999998;2426.597408;2496.058355
1880;2942.398897;1019.661738;2576.628595;2604.847454
1900;5785.708704;2918.5901980000003;2770.480176;2778.431381
1920;3470.8599540000005;1746.322126;2893.020056;2932.245635
1940;2515.991404;1295.3137539999998;3094.2697190000004;3162.040099
1960;2646.503174;1833.92663;3255.933986;3287.8775180000002
1980;2710.524384;1312.401275;3428.66982;3629.4622339999996
2000;8267.08545;4100.887804;3607.2233710000005;3634.601134
