n;jacobi;seidel;gauss;gauss_pivot
10;0.44444444444444386;0.44444444444444386;0.44444444444444436;0.44444444444444436
20;0.47368421052631243;0.47368421052631304;0.4736842105263157;0.4736842105263157
30;0.48275862068964853;0.4827586206896486;0.4827586206896545;0.4827586206896545
40;0.48717948717947634;0.48717948717947634;0.4871794871794849;0.4871794871794849
50;0.48979591836732794;0.48979591836732794;0.4897959183673431;0.4897959183673431
60;0.49152542372878505;0.49152542372878716;0.4915254237288084;0.4915254237288084
70;0.49275362318836985;0.4927536231883699;0.4927536231883998;0.4927536231883998
80;0.4936708860759037;0.4936708860759038;0.4936708860759433;0.4936708860759433
90;0.4943820224718489;0.494382022471849;0.49438202247190427;0.49438202247190427
100;0.4949494949494192;0.49494949494941953;0.4949494949494891;0.4949494949494891
110;0.4954128440366066;0.4954128440366066;0.4954128440366916;0.4954128440366916
120;0.4957983193276285;0.4957983193276197;0.495798319327725;0.495798319327725
130;0.49612403100763075;0.4961240310076307;0.4961240310077441;0.4961240310077441
140;0.496402877697697;0.49640287769769215;0.49640287769783303;0.49640287769783303
150;0.4966442953018393;0.4966442953018504;0.4966442953020032;0.4966442953020032
160;0.4968553459117574;0.4968553459117692;0.4968553459119385;0.4968553459119385
170;0.4970414201181267;0.497041420118133;0.4970414201183318;0.4970414201183318
180;0.4972067039103735;0.4972067039103736;0.4972067039106029;0.4972067039106029
190;0.497354497354232;0.497354497354232;0.4973544973544864;0.4973544973544864
200;0.49748743718563154;0.4974874371856388;0.49748743718591976;0.49748743718591976
210;0.497607655502075;0.497607655502075;0.49760765550238356;0.49760765550238356
220;0.497716894976821;0.4977168949767803;0.497716894977162;0.497716894977162
230;0.4978165938860744;0.4978165938860404;0.49781659388645716;0.49781659388645716
240;0.49790794979036074;0.49790794979038744;0.49790794979079217;0.49790794979079217
250;0.497991967871017;0.4979919678710172;0.4979919678714862;0.4979919678714862
260;0.4980694980689939;0.4980694980689939;0.49806949806950135;0.49806949806950135
270;0.4981412639399743;0.49814126394000413;0.49814126394052705;0.49814126394052705
280;0.4982078853040951;0.4982078853040849;0.4982078853046691;0.4982078853046691
290;0.49826989619314155;0.49826989619316286;0.4982698961937835;0.4982698961937835
300;0.4983277591966754;0.49832775919670863;0.4983277591973383;0.4983277591973383
