n;jacobi;seidel;gauss;gauss_pivot
20;0.8402477562046986;0.8402477562046986;0.8402477562046986;0.8402477562046986
40;0.8889590537838754;0.8889590537838754;0.8889590537838755;0.8889590537838755
60;0.6575328677811632;0.6575328677811632;0.6575328677811634;0.6575328677811634
80;0.9978861155445606;0.9978861155445606;0.9978861155445606;0.9978861155445606
100;0.14069337490094966;0.1406933749009497;0.1406933749009499;0.1406933749009499
120;0.864250071589584;0.864250071589584;0.8642500715895856;0.8642500715895856
140;0.4051504941578882;0.4051504941578882;0.40515049415788834;0.40515049415788834
160;0;0;0;0
180;0.024636506965345664;0.024636506965345664;0.02463650696534567;0.02463650696534567
200;0.29806772844336576;0.29806772844336576;0.2980677284433658;0.2980677284433658
220;0.29299436329232387;0.29299436329232387;0.2929943632923239;0.2929943632923239
240;0.9688403033404088;0.9688403033404088;0.9688403033404099;0.9688403033404099
260;0.310488117622005;0.310488117622005;0.3104881176220053;0.3104881176220053
280;0.1910112359550562;0.1910112359550562;0.1910112359550562;0.1910112359550562
300;0.18247751033769918;0.18247751033769952;0.18247751033770007;0.18247751033770007
320;0.3163524865723718;0.3163524865723718;0.31635248657237197;0.31635248657237197
340;0.8265895953757225;0.8265895953757225;0.8265895953757225;0.8265895953757225
360;0;0;0;0
380;0.3973959734078638;0.3973959734078638;0.39739597340786387;0.39739597340786387
400;0.3068678148795518;0.30686781487955184;0.30686781487955267;0.30686781487955267
420;0.9130298269705168;0.9130298269705168;0.9130298269705169;0.9130298269705169
440;0.8713965351932927;0.8713965351932927;0.8713965351932931;0.8713965351932931
460;0.15830244874377003;0.15830244874377003;0.15830244874377003;0.15830244874377003
480;0;0;0;0
500;0.7837768770814602;0.7837768770814602;0.7837768770814608;0.7837768770814608
520;0.01774289844891108;0.017742898448911703;0.017742898448912362;0.017742898448912362
540;0.1884692923607001;0.1884692923607001;0.1884692923607001;0.1884692923607001
560;0.14938335352221366;0.14938335352221366;0.14938335352221366;0.14938335352221366
580;0.1507156615516954;0.1507156615516954;0.1507156615516955;0.1507156615516955
600;0.3339454481727685;0.3339454481727685;0.33394544817276833;0.33394544817276833
620;0.0020694732921440425;0.0020694732921440425;0.0020694732921440425;0.0020694732921440425
640;0.12978126591841288;0.12978126591841288;0.12978126591841288;0.12978126591841288
660;0.6110580339253733;0.6110580339253733;0.6110580339253733;0.6110580339253733
680;0.4590898199360039;0.4590898199360039;0.4590898199360042;0.4590898199360042
700;0.9865175912424369;0.9865175912424369;0.9865175912424363;0.9865175912424363
720;0.033330271200565836;0.033330271200565836;0.03333027120056588;0.03333027120056588
740;0.6134860609718075;0.6134860609718075;0.6134860609718081;0.6134860609718081
760;0.9861606967377192;0.9861606967377192;0.9861606967377194;0.9861606967377194
780;1;1;1;1
800;0.5128851565773069;0.5128851565773069;0.5128851565773073;0.5128851565773073
820;0.8735053918485776;0.8735053918485776;0.8735053918485762;0.8735053918485762
840;0.705000871307299;0.705000871307299;0.7050008713072992;0.7050008713072992
860;0.09763968029698976;0.09763968029698976;0.09763968029698972;0.09763968029698972
880;0;0;0;0
900;0.08323903532133317;0.08323903532133317;0.08323903532133325;0.08323903532133325
920;0.9999999999999999;0.9999999999999999;0.9999999999999999;0.9999999999999999
940;0.9036771338386715;0.9036771338386715;0.9036771338386712;0.9036771338386712
960;0.19644839652849186;0.19644839652849186;0.1964483965284921;0.1964483965284921
980;0.8971051068032814;0.8971051068032814;0.8971051068032818;0.8971051068032818
1000;0.9210936675827448;0.9210936675827448;0.9210936675827446;0.9210936675827446
1020;0.9188282933915917;0.9188282933915917;0.9188282933915913;0.9188282933915913
1040;0.07121365273199469;0.07121365273199469;0.07121365273199479;0.07121365273199479
1060;0.6264868566756765;0.6264868566756765;0.6264868566756762;0.6264868566756762
1080;0.10517265048758079;0.10517265048758079;0.10517265048758061;0.10517265048758061
1100;0.611158162883936;0.611158162883936;0.6111581628839358;0.6111581628839358
1120;0.240117130307467;0.240117130307467;0.240117130307467;0.240117130307467
