n;jacobi;seidel;gauss;gauss_pivot
20;0.19263000000000002;0.13907;0.056796;0.075132
40;0.22398;0.263502;0.16059099999999998;0.28296
60;0.37102599999999997;0.467034;0.295904;0.43749
80;0.465032;1.050683;0.56031;0.7857620000000001
100;0.510767;1.3400699999999999;0.92398;1.21136
120;6.108731000000001;15.881146000000001;6.66193;7.247184
140;2.5642139999999998;8.880374;4.274547999999999;4.859872
160;1.4907720000000002;7.9012199999999995;2.592686;3.901288
180;3.27741;16.010520999999997;7.515046;8.583498
200;1.7153420000000001;9.958385;7.277322;8.656044000000001
220;4.769764;30.197904;12.299447;13.908871999999999
240;5.753768;39.813644;20.10647;22.378709999999998
260;9.318786;59.858192;35.365254;37.770278
280;1.88477;17.043574;8.665;11.554984000000001
300;13.679072;104.592074;92.98355699999999;96.64063200000001
320;4.070776;36.416722;54.750448000000006;61.15853
340;3.897831;42.793347999999995;23.4524;27.183408
360;4.687792;54.563534;13.04354;17.157276
380;9.34802;108.082258;28.432798;33.351472
400;24.10972;250.837828;191.773367;198.016638
420;6.5083;78.52471600000001;59.619096;65.955964
440;8.530487999999998;111.214457;106.03278;112.550994
460;6.1619139999999994;100.80484799999999;22.678931;29.146915999999997
480;4.28115;68.045668;57.421136000000004;66.345624
500;6.07473;89.14252400000001;111.235918;121.10175000000001
520;10.456214;141.610154;185.98199599999998;196.166496
540;8.422426000000002;146.106206;56.069066;66.360492
560;6.7789269999999995;104.412746;214.679722;223.338312
580;10.372688;161.293071;122.969186;133.650292
600;12.010626;179.512074;435.7647;461.707642
620;11.781938;187.06007799999998;171.596891;184.676764
640;15.169565;261.526316;280.712916;307.928418
660;21.672746;415.076638;51.738521999999996;66.111624
680;13.665666000000002;219.676541;313.510832;328.951755
700;10.764032;183.72112199999998;242.621318;258.416762
720;14.383274;253.15458;228.033595;248.44376799999998
740;56.951828;970.9683560000001;958.3732;977.97271
760;10.032399999999999;199.36123700000002;388.83317999999997;407.60312799999997
780;5.50933;138.143099;49.478149;69.280709
800;8.104247999999998;172.491005;164.40301599999998;185.83043
820;13.852036;307.12975200000005;274.612984;278.142282
840;20.479770000000002;437.941374;302.49415799999997;327.88348299999996
860;23.915930000000003;453.781286;800.1591619999999;828.5095140000001
880;18.934534;403.12052;391.23866699999996;416.921342
900;24.873522;503.11671;1041.763606;1088.373404
920;9.549938000000001;240.766877;143.052412;171.363042
940;33.67103;726.225858;1102.141935;1131.996374
960;15.762717000000002;351.6694;473.66677200000004;507.77482399999997
980;27.842143999999998;608.222194;721.157344;761.049356
1000;20.668622999999997;509.779859;358.99255700000003;393.329972
1020;37.740242;858.9981359999999;1058.94893;1101.5217499999999
1040;35.91317;805.7205799999999;1290.452532;1349.68377
1060;12.498961999999999;345.087178;168.78593999999998;207.76192400000002
1080;23.857438000000002;612.3062729999999;671.3520940000001;718.769732
1100;51.509772;953.65572;1892.919696;1937.104028
1120;23.804740000000002;601.3484579999999;456.861486;502.766714
1140;34.989393;996.199662;597.866254;655.24341
1160;53.952117;909.24867;1929.686846;1970.5703399999998
1180;42.538067999999996;810.964842;2145.552172;2079.656204
1200;28.229868;582.2527829999999;1556.3464079999999;1603.52539
1220;42.539311999999995;908.219396;1134.281634;1184.268654
1240;22.614068;543.121572;339.0516;393.63009800000003
1260;21.026454;676.394254;296.43752;361.987894
1280;92.28515;1874.495528;2738.720005;2821.5615
1300;55.844322000000005;1146.4151259999999;2104.78331;2184.6570919999995
1320;30.012456;706.575086;969.0047360000001;1025.7554089999999
1340;41.215081999999995;991.204621;535.8111100000001;594.907734
1360;56.267808;1332.149745;1396.01884;1452.711948
1380;30.924011999999998;823.279552;387.82853;450.9527
1400;43.562468;991.4363539999999;1791.660962;1858.599635
1420;45.037077999999994;1098.643805;1254.7995629999998;1328.4048919999998
1440;91.11217400000001;1100.732466;2559.5886240000004;2656.5701740000004
1460;39.895099;1055.0832030000001;847.243336;914.239952
1480;50.933956;1235.36771;1540.8549319999997;1612.480175
1500;28.057161999999998;790.975914;423.560782;497.314562
1520;48.177512;1404.411685;254.129726;325.98736199999996
1540;32.293141;890.1227719999999;728.227028;807.272532
1560;67.76975300000001;1746.2070250000002;1711.773654;1805.110264
1580;31.562710000000003;904.263136;1163.5785919999998;1255.5585700000001
1600;145.587134;2505.985552;6665.941804;6847.587758
1620;55.183273;1494.11509;1909.320186;1987.1363579999997
1640;88.8735;1296.741356;2961.219302;3043.904606
1660;48.010962;1389.5566480000002;831.4129439999999;928.412644
1680;91.27533199999999;1423.486114;3796.274732;3929.7794140000005
1700;55.251834;1581.525502;1696.405526;1809.934384
1720;97.15095600000001;1779.969475;1517.3794659999999;1623.332076
1740;82.035913;1331.4835819999998;2442.30842;2714.8774139999996
1760;93.327002;1892.475681;471.883015;575.5319400000001
1780;51.232234;1500.368248;1187.0600020000002;1304.266431
1800;97.327156;1909.9814820000001;1729.877542;1817.35963
1820;78.00879;1219.801137;4659.857605;4920.514628
1840;54.318296;1699.474338;1432.9249479999999;1554.887714
1860;67.498962;1197.9918020000002;1092.8024639999999;1211.173426
1880;66.239064;1016.5874319999999;3398.423128;3502.915242
1900;162.54089799999997;2905.744872;2097.886478;2241.961252
1920;89.85315600000001;1738.34844;2919.0521830000002;3060.8927200000003
1940;73.600071;1302.383042;3846.926112;4135.1111
1960;57.850971;1953.978146;2446.30991;2370.50862
1980;73.544978;1296.7913360000002;3396.130004;3745.49697
2000;322.82538;4072.7108139999996;19498.842969;19490.918122
